,Activity,Pose - Legs,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,org:resource,concept:name,case:concept:name,time:timestamp
17,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 00:45:03.000
18,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 00:46:15.000
19,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Waiting,Subject_1,Cross aisle path,Case_01,2025-01-01 00:46:51.500
20,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Waiting,Subject_1,Aisle path,Case_01,2025-01-01 00:47:50.000
21,Standing,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 00:50:00.000
22,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 00:53:17.500
23,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:00:23.000
24,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:01:36.000
25,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 01:01:51.500
26,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:05:44.000
27,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 01:06:15.500
28,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:16:24.000
29,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:17:34.500
30,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 01:17:49.500
31,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:18:53.000
32,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:19:00.000
33,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 01:20:09.000
34,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:42:01.000
35,Handling centred,Step,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 01:42:27.500
36,Standing,Standing Still,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 01:43:03.000
37,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 01:43:36.000
38,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:50:35.000
39,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 01:50:51.000
40,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 01:51:36.000
41,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 01:52:05.000
42,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:56:25.500
43,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_1,Base,Case_01,2025-01-01 01:56:44.500
44,Scan,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 01:57:58.000
45,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 02:05:37.500
46,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 02:06:23.000
47,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 02:06:44.500
48,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 02:08:38.000
49,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 02:08:50.500
50,Tick off / confirm,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:09:28.500
51,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:13:21.500
52,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:13:41.500
53,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 02:15:02.000
54,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:15:17.000
55,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:22:26.500
56,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:22:43.500
57,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:23:17.000
58,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:28:28.500
59,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:29:41.500
60,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:32:47.000
61,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:33:16.500
62,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 02:33:46.000
63,Scan,Standing Still,Aisle path,3 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:34:34.000
64,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:38:31.000
65,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:40:06.000
66,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:45:19.000
67,Handling downwards,Lunges,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:46:14.500
68,Handling centred,Step,Cross aisle path,2-3,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:55:41.000
69,Scan,Standing Still,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:55:53.500
70,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:59:04.000
71,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 03:00:45.500
72,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:05:42.500
73,Scan,Standing Still,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 03:06:50.500
74,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:10:53.000
75,Walking,Gait Cycle,Aisle path,5 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 03:12:19.000
76,Handling centred,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:25:25.000
77,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Path,Case_01,2025-01-01 03:29:32.000
78,Push,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Packing/sorting area,Case_01,2025-01-01 03:30:25.500
79,Push,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Path,Case_01,2025-01-01 04:59:18.000
80,Push,Gait Cycle,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Issuing/receiving area,Case_01,2025-01-01 05:01:27.500
81,Pull,Gait Cycle,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,Subject_1,Path,Case_01,2025-01-01 05:04:38.500
82,Push,Gait Cycle,Office,_,Retrieval,Finalizing order,Returning hardware,Subject_1,Office,Case_01,2025-01-01 05:08:12.000
83,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Transport a cart to the base,Subject_1,Path,Case_01,2025-01-01 05:15:38.500
84,Push,Gait Cycle,Cross aisle path,3-4,Retrieval,Preparing order,Transport a cart to the base,Subject_1,Cross aisle path,Case_01,2025-01-01 05:16:10.000
85,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 05:20:20.000
86,Push,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-01 05:22:09.500
87,Push,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Path,Case_01,2025-01-01 05:25:02.500
88,Push,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Cross aisle path,Case_01,2025-01-01 05:26:39.000
89,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 05:30:33.500
90,Handling centred,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 05:44:45.000
91,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 05:44:51.500
92,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 05:45:46.500
93,Handling centred,Gait Cycle,Aisle path,1 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 05:45:50.000
94,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 05:46:53.000
95,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 05:47:38.000
96,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 05:47:58.000
97,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 05:51:06.500
98,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 05:51:23.500
99,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 05:53:13.000
100,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 05:59:10.000
101,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 05:59:34.000
102,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:01:29.000
103,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 06:02:20.500
104,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:03:01.000
105,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:04:06.500
106,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:05:35.500
107,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:05:47.000
108,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:08:39.500
109,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:09:14.000
110,Standing,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:09:18.000
111,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:10:16.000
112,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:10:50.000
113,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:12:44.500
114,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:12:53.500
115,Handling centred,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:14:54.500
116,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:15:33.000
117,Standing,Standing Still,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:16:03.000
118,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:17:40.500
119,Handling downwards,Lunges,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:20:44.000
120,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 06:23:17.000
121,Handling downwards,Lunges,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:26:51.000
122,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:31:02.000
123,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_1,Base,Case_01,2025-01-01 06:31:02.500
124,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:32:52.500
125,Handling centred,Step,Aisle path,3 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:33:20.500
126,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:36:40.500
127,Standing,Standing Still,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:37:33.000
128,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:38:47.500
129,Handling downwards,Lunges,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:41:19.000
130,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:42:49.500
131,Handling upwards,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:44:12.000
132,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:44:34.000
133,Standing,Standing Still,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:44:43.500
134,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:47:09.000
135,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:48:23.500
136,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:49:29.000
137,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 06:50:08.500
138,Tick off / confirm,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:53:51.500
139,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:55:28.500
140,Handling downwards,Lunges,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:55:39.000
141,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 07:00:18.000
142,Handling upwards,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 07:01:30.000
143,Handling upwards,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 07:02:49.500
144,Handling downwards,Lunges,Aisle path,5 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 07:02:55.500
145,Handling upwards,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 07:10:13.000
146,Handling centred,Step,Cross aisle path,1-2,Retrieval,Packing,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 07:12:15.500
147,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:15:33.500
148,Push,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 07:16:10.500
149,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Path,Case_01,2025-01-01 07:21:32.000
150,Push,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:22:07.500
151,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 07:35:07.000
152,Walking,Gait Cycle,Cardboard box area,_,Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-01 07:35:55.500
153,Walking,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 07:36:47.500
154,Walking,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:37:38.000
155,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:43:48.000
156,Walking,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 07:44:29.000
157,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:46:34.500
158,Walking,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:46:56.000
159,Push,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Path,Case_01,2025-01-01 08:26:33.500
160,Push,Gait Cycle,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Issuing/receiving area,Case_01,2025-01-01 08:29:01.500
161,Pull,Gait Cycle,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,Subject_1,Path,Case_01,2025-01-01 08:33:50.500
162,Push,Gait Cycle,Office,_,Retrieval,Finalizing order,Returning hardware,Subject_1,Office,Case_01,2025-01-01 08:37:21.000
163,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 09:45:54.000
164,Walking,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-01 09:47:41.500
165,Pull,Step,Path,Path (Cardboard box area),Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Path,Case_01,2025-01-01 09:51:10.000
166,Push,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Cross aisle path,Case_01,2025-01-01 09:53:09.500
167,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 09:58:59.500
168,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 10:00:36.500
169,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 10:01:59.000
170,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 10:03:13.500
171,Handling centred,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 10:04:51.000
172,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 10:15:04.500
173,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 10:16:57.500
174,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 10:17:12.000
175,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 10:19:05.500
