Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,concept:name,org:resource,case:concept:name,time:timestamp,High-Level Process (Predicted)
Handling upwards,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:50:01.000,
Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:50:50.500,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:53:03.000,
Handling upwards,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:58:33.500,
Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:59:20.500,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 16:01:14.000,
Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,Base,Subject_01,Case_01,2025-01-01 16:02:03.500,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 16:03:16.000,
Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 16:04:02.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 16:04:51.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 16:08:06.000,
Handling centred,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 16:09:08.500,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 16:10:27.000,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 16:12:51.000,
Handling centred,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 16:13:54.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 16:15:36.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 16:20:37.500,
Walking,Aisle path,1 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 16:21:00.000,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 16:43:13.500,
Push,Path,Path (Office),Storage,Finalizing order,Returning empty cardboard boxes,Path,Subject_01,Case_01,2025-01-01 16:46:26.500,
Push,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,Cardboard box area,Subject_01,Case_01,2025-01-01 16:48:13.000,
Pull,Path,Path (Cardboard box area),Storage,Finalizing order,Returning hardware,Path,Subject_01,Case_01,2025-01-01 16:53:13.500,
Push,Office,_,Storage,Finalizing order,Returning hardware,Office,Subject_01,Case_01,2025-01-01 16:57:03.500,
Pull,Path,Path (Office),Storage,Preparing order,Collecting packed cardboard boxes,Path,Subject_01,Case_01,2025-01-01 22:48:44.000,
Push,Issuing/receiving area,_,Storage,Preparing order,Collecting packed cardboard boxes,Issuing/receiving area,Subject_01,Case_01,2025-01-01 22:52:36.500,
Push,Path,Path (Office),Storage,Storing _ Travel time,Transport a cart to the base,Path,Subject_01,Case_01,2025-01-01 23:40:16.500,
Push,Cross aisle path,3-4,Storage,Storing _ Travel time,Transport a cart to the base,Cross aisle path,Subject_01,Case_01,2025-01-01 23:41:17.500,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 23:44:49.500,
Walking,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-01 23:45:24.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 23:46:48.500,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 23:50:47.500,
Handling centred,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-01 23:51:17.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 23:52:18.000,
Handling centred,Base,_,Storage,Storing _ Store time,Sorting,Base,Subject_01,Case_01,2025-01-01 23:52:39.500,
Handling upwards,Cross aisle path,1-2,Storage,Storing _ Store time,Sorting,Cross aisle path,Subject_01,Case_01,2025-01-01 23:55:42.000,
Handling centred,Base,_,Storage,Storing _ Store time,Sorting,Base,Subject_01,Case_01,2025-01-01 23:56:33.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 00:00:32.000,
Walking,Aisle path,5 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 00:01:45.500,
Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 00:07:09.500,
Handling centred,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 00:07:38.000,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 00:08:59.000,
Handling downwards,Aisle path,4 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-02 00:13:09.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 00:15:43.500,
Handling centred,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 00:17:49.000,
Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 00:18:53.000,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 00:20:19.000,
Handling centred,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 00:22:14.500,
Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 00:22:33.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 00:24:02.500,
Handling centred,Aisle path,3 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-02 00:26:54.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 00:30:51.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 00:38:13.500,
Standing,Aisle path,1 front,Storage,Storing _ Travel time,"Move to next position, Transition",Aisle path,Subject_01,Case_01,2025-01-02 00:38:38.000,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:08:52.000,
Handling centred,Base,_,Storage,Storing _ Travel time,Move to next position,Base,Subject_01,Case_01,2025-01-02 01:11:06.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:12:59.500,
Handling centred,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 01:13:59.000,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:15:05.500,
Standing,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:18:18.000,
Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 01:18:51.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:19:35.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:21:14.500,
Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 01:21:30.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:22:56.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:25:21.000,
Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 01:26:39.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:29:42.500,
Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,Base,Subject_01,Case_01,2025-01-02 01:30:35.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:34:05.500,
Handling downwards,Aisle path,4 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-02 01:35:08.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-02 01:36:32.500,
Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-02 01:36:58.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-02 01:53:27.000,
Handling centred,Base,_,Storage,Finalizing order,"Returning hardware, Transition",Base,Subject_01,Case_01,2025-01-02 01:53:36.000,
Standing,Cross aisle path,2-3,Storage,Finalizing order,"Returning hardware, Transition",Cross aisle path,Subject_01,Case_01,2025-01-02 01:53:41.500,
Push,Path,Path (Office),Storage,Finalizing order,Returning hardware,Path,Subject_01,Case_01,2025-01-02 01:55:49.000,
Push,Office,_,Storage,Finalizing order,Returning hardware,Office,Subject_01,Case_01,2025-01-02 01:56:08.500,
Push,Path,Path (Office),Storage,Finalizing order,Returning empty cardboard boxes,Path,Subject_01,Case_01,2025-01-02 02:02:41.000,
Push,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,Cardboard box area,Subject_01,Case_01,2025-01-02 02:04:22.500,
Push,Path,Path (Cardboard box area),Storage,Finalizing order,Returning cart,Path,Subject_01,Case_01,2025-01-02 02:07:36.500,
Push,Cart area,_,Storage,Finalizing order,Returning cart,Cart area,Subject_01,Case_01,2025-01-02 02:08:50.000,
