,Activity,Pose - Legs,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,org:resource,concept:name,case:concept:name,time:timestamp,Predicted High-Level Process,Encoded High-Level Process
17,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 00:45:03.000,Retrieval,0
18,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 00:46:15.000,Retrieval,0
19,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Waiting,Subject_1,Cross aisle path,Case_01,2025-01-01 00:46:51.500,Retrieval,0
20,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Waiting,Subject_1,Aisle path,Case_01,2025-01-01 00:47:50.000,Retrieval,0
21,Standing,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 00:50:00.000,Retrieval,0
22,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 00:53:17.500,Retrieval,0
23,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:00:23.000,Retrieval,0
24,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:01:36.000,Retrieval,0
25,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 01:01:51.500,Retrieval,0
26,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:05:44.000,Retrieval,0
27,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 01:06:15.500,Retrieval,0
28,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:16:24.000,Retrieval,0
29,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:17:34.500,Retrieval,0
30,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 01:17:49.500,Retrieval,0
31,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 01:18:53.000,Retrieval,0
32,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 01:19:00.000,Retrieval,0
33,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 01:20:09.000,Retrieval,0
34,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:42:01.000,Retrieval,0
35,Handling centred,Step,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 01:42:27.500,Retrieval,0
36,Standing,Standing Still,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 01:43:03.000,Retrieval,0
37,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 01:43:36.000,Retrieval,0
38,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:50:35.000,Retrieval,0
39,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 01:50:51.000,Retrieval,0
40,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 01:51:36.000,Retrieval,0
41,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 01:52:05.000,Retrieval,0
42,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 01:56:25.500,Retrieval,0
43,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_1,Base,Case_01,2025-01-01 01:56:44.500,Retrieval,0
44,Scan,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 01:57:58.000,Retrieval,0
45,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 02:05:37.500,Retrieval,0
46,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 02:06:23.000,Retrieval,0
47,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 02:06:44.500,Retrieval,0
48,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 02:08:38.000,Retrieval,0
49,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 02:08:50.500,Retrieval,0
50,Tick off / confirm,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:09:28.500,Retrieval,0
51,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:13:21.500,Retrieval,0
52,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:13:41.500,Retrieval,0
53,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 02:15:02.000,Retrieval,0
54,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:15:17.000,Retrieval,0
55,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:22:26.500,Retrieval,0
56,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:22:43.500,Retrieval,0
57,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:23:17.000,Retrieval,0
58,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:28:28.500,Retrieval,0
59,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:29:41.500,Retrieval,0
60,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:32:47.000,Retrieval,0
61,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 02:33:16.500,Retrieval,0
62,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 02:33:46.000,Retrieval,0
63,Scan,Standing Still,Aisle path,3 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:34:34.000,Retrieval,0
64,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:38:31.000,Retrieval,0
65,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 02:40:06.000,Retrieval,0
66,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:45:19.000,Retrieval,0
67,Handling downwards,Lunges,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:46:14.500,Retrieval,0
68,Handling centred,Step,Cross aisle path,2-3,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:55:41.000,Retrieval,0
69,Scan,Standing Still,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 02:55:53.500,Retrieval,0
70,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 02:59:04.000,Retrieval,0
71,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 03:00:45.500,Retrieval,0
72,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:05:42.500,Retrieval,0
73,Scan,Standing Still,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 03:06:50.500,Retrieval,0
74,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:10:53.000,Retrieval,0
75,Walking,Gait Cycle,Aisle path,5 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 03:12:19.000,Retrieval,0
76,Handling centred,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 03:25:25.000,Retrieval,0
77,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Path,Case_01,2025-01-01 03:29:32.000,Retrieval,0
78,Push,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Packing/sorting area,Case_01,2025-01-01 03:30:25.500,Retrieval,0
79,Push,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Path,Case_01,2025-01-01 04:59:18.000,Retrieval,0
80,Push,Gait Cycle,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Issuing/receiving area,Case_01,2025-01-01 05:01:27.500,Retrieval,0
81,Pull,Gait Cycle,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,Subject_1,Path,Case_01,2025-01-01 05:04:38.500,Retrieval,0
82,Push,Gait Cycle,Office,_,Retrieval,Finalizing order,Returning hardware,Subject_1,Office,Case_01,2025-01-01 05:08:12.000,Retrieval,0
83,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Transport a cart to the base,Subject_1,Path,Case_01,2025-01-01 05:15:38.500,Retrieval,0
84,Push,Gait Cycle,Cross aisle path,3-4,Retrieval,Preparing order,Transport a cart to the base,Subject_1,Cross aisle path,Case_01,2025-01-01 05:16:10.000,Retrieval,0
85,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 05:20:20.000,Retrieval,0
86,Push,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-01 05:22:09.500,Retrieval,0
87,Push,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Path,Case_01,2025-01-01 05:25:02.500,Retrieval,0
88,Push,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Transport a cart to the base,Subject_1,Cross aisle path,Case_01,2025-01-01 05:26:39.000,Retrieval,0
89,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 05:30:33.500,Retrieval,0
90,Handling centred,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 05:44:45.000,Retrieval,0
91,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 05:44:51.500,Retrieval,0
92,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 05:45:46.500,Retrieval,0
93,Handling centred,Gait Cycle,Aisle path,1 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 05:45:50.000,Retrieval,0
94,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 05:46:53.000,Retrieval,0
95,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 05:47:38.000,Retrieval,0
96,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 05:47:58.000,Retrieval,0
97,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 05:51:06.500,Retrieval,0
98,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 05:51:23.500,Retrieval,0
99,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Aisle path,Case_01,2025-01-01 05:53:13.000,Retrieval,0
100,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 05:59:10.000,Retrieval,0
101,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 05:59:34.000,Retrieval,0
102,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:01:29.000,Retrieval,0
103,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 06:02:20.500,Retrieval,0
104,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:03:01.000,Retrieval,0
105,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:04:06.500,Retrieval,0
106,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:05:35.500,Retrieval,0
107,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:05:47.000,Retrieval,0
108,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:08:39.500,Retrieval,0
109,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:09:14.000,Retrieval,0
110,Standing,Standing Still,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:09:18.000,Retrieval,0
111,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:10:16.000,Retrieval,0
112,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:10:50.000,Retrieval,0
113,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:12:44.500,Retrieval,0
114,Handling downwards,Lunges,Aisle path,2 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:12:53.500,Retrieval,0
115,Handling centred,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:14:54.500,Retrieval,0
116,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:15:33.000,Retrieval,0
117,Standing,Standing Still,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:16:03.000,Retrieval,0
118,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:17:40.500,Retrieval,0
119,Handling downwards,Lunges,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:20:44.000,Retrieval,0
120,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 06:23:17.000,Retrieval,0
121,Handling downwards,Lunges,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:26:51.000,Retrieval,0
122,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:31:02.000,Retrieval,0
123,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_1,Base,Case_01,2025-01-01 06:31:02.500,Retrieval,0
124,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:32:52.500,Retrieval,0
125,Handling centred,Step,Aisle path,3 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:33:20.500,Retrieval,0
126,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:36:40.500,Retrieval,0
127,Standing,Standing Still,Aisle path,3 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:37:33.000,Retrieval,0
128,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:38:47.500,Retrieval,0
129,Handling downwards,Lunges,Aisle path,4 front,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:41:19.000,Retrieval,0
130,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:42:49.500,Retrieval,0
131,Handling upwards,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:44:12.000,Retrieval,0
132,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:44:34.000,Retrieval,0
133,Standing,Standing Still,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:44:43.500,Retrieval,0
134,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 06:47:09.000,Retrieval,0
135,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:48:23.500,Retrieval,0
136,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:49:29.000,Retrieval,0
137,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-01 06:50:08.500,Retrieval,0
138,Tick off / confirm,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 06:53:51.500,Retrieval,0
139,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 06:55:28.500,Retrieval,0
140,Handling downwards,Lunges,Aisle path,4 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 06:55:39.000,Retrieval,0
141,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-01 07:00:18.000,Retrieval,0
142,Handling upwards,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 07:01:30.000,Retrieval,0
143,Handling upwards,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-01 07:02:49.500,Retrieval,0
144,Handling downwards,Lunges,Aisle path,5 back,Retrieval,Picking_pick time,Retrieval of items,Subject_1,Aisle path,Case_01,2025-01-01 07:02:55.500,Retrieval,0
145,Handling upwards,Standing Still,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_1,Base,Case_01,2025-01-01 07:10:13.000,Retrieval,0
146,Handling centred,Step,Cross aisle path,1-2,Retrieval,Packing,Report and clarify the incident,Subject_1,Cross aisle path,Case_01,2025-01-01 07:12:15.500,Retrieval,0
147,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:15:33.500,Retrieval,0
148,Push,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 07:16:10.500,Retrieval,0
149,Push,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Path,Case_01,2025-01-01 07:21:32.000,Retrieval,0
150,Push,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:22:07.500,Retrieval,0
151,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 07:35:07.000,Retrieval,0
152,Walking,Gait Cycle,Cardboard box area,_,Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-01 07:35:55.500,Retrieval,0
153,Walking,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Path,Case_01,2025-01-01 07:36:47.500,Retrieval,0
154,Walking,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Collecting empty cardboard boxes,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:37:38.000,Retrieval,0
155,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:43:48.000,Retrieval,0
156,Walking,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Office,Case_01,2025-01-01 07:44:29.000,Retrieval,0
157,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_1,Path,Case_01,2025-01-01 07:46:34.500,Retrieval,0
158,Walking,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Report and clarify the incident,Subject_1,Packing/sorting area,Case_01,2025-01-01 07:46:56.000,Retrieval,0
159,Push,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_1,Path,Case_01,2025-01-01 08:26:33.500,Retrieval,0
