,Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,Pose - Legs,concept:name,org:resource,case:concept:name,time:timestamp
5687,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:47:23.500
6144,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 00:51:12.000
6758,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:56:19.000
6800,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 00:56:40.000
7424,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:01:52.000
7669,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 01:03:54.500
8147,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:07:53.500
8222,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 01:08:31.000
8275,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:08:57.500
8684,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 01:12:22.000
9204,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:16:42.000
9271,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 01:17:15.500
9329,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:17:44.500
9887,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 01:22:23.500
10283,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:25:41.500
10718,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 01:29:19.000
10973,Handling centred,Cross aisle path,1-2,Retrieval,,Transition,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:31:26.500
11042,Handling centred,Aisle path,2 front,Retrieval,,Transition,,Aisle path,Subject_01,Case_01,2025-01-01 01:32:01.000
11078,Handling centred,Cross aisle path,1-2,Retrieval,,Transition,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:32:19.000
11411,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 01:35:05.500
12209,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:41:44.500
12285,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 01:42:22.500
12329,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:42:44.500
12640,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 01:45:20.000
13090,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:49:05.000
13626,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 01:53:33.000
13662,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 01:53:51.000
14177,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 01:58:08.500
14212,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:58:26.000
14339,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 01:59:29.500
14397,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 01:59:58.500
14675,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 02:02:17.500
15208,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:06:44.000
15327,Walking,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 02:07:43.500
15572,Scan,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:09:46.000
16036,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 02:13:38.000
17367,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:24:43.500
17614,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 02:26:47.000
17644,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 02:27:02.000
18191,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 02:31:35.500
18218,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:31:49.000
18277,Walking,Aisle path,3 front,Retrieval,Special processes,Report and clarify the incident,,Aisle path,Subject_01,Case_01,2025-01-01 02:32:18.500
18566,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:34:43.000
18955,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 02:37:57.500
19318,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:40:59.000
19443,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 02:42:01.500
19597,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:43:18.500
19829,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 02:45:14.500
20092,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:47:26.000
20256,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 02:48:48.000
20439,Scan,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:50:19.500
20645,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 02:52:02.500
21310,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:57:35.000
21468,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 02:58:54.000
21560,Scan,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 02:59:40.000
21780,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 03:01:30.000
22234,Walking,Cross aisle path,4-5,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:05:17.000
22406,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 03:06:43.000
22598,Scan,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:08:19.000
22791,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 03:09:55.500
23241,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:13:40.500
23397,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 03:14:58.500
23529,Scan,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:16:04.500
23879,Walking,Aisle path,5 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 03:18:59.500
24321,Walking,Cross aisle path,4-5,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:22:40.500
24530,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 03:24:25.000
24693,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 03:25:46.500
25186,Push,Path,Path (Office),Retrieval,Packing,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-01 03:29:53.000
25527,Push,Packing/sorting area,_,Retrieval,Packing,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-01 03:32:43.500
28867,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 04:00:33.500
28918,Walking,Office,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 04:00:59.000
29230,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 04:03:35.000
29274,Walking,Packing/sorting area,_,Retrieval,Packing,Print shipping label and return slip,,Packing/sorting area,Subject_01,Case_01,2025-01-01 04:03:57.000
30284,Push,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,,Path,Subject_01,Case_01,2025-01-01 04:12:22.000
30565,Push,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,,Issuing/receiving area,Subject_01,Case_01,2025-01-01 04:14:42.500
30910,Pull,Path,Path (Issuing area),Retrieval,Finalizing order,Transition,,Path,Subject_01,Case_01,2025-01-01 04:17:35.000
31290,Push,Cardboard box area,_,Retrieval,Finalizing order,Transition,,Cardboard box area,Subject_01,Case_01,2025-01-01 04:20:45.000
31530,Pull,Path,Path (Cardboard box area),Retrieval,Finalizing order,Returning hardware,,Path,Subject_01,Case_01,2025-01-01 04:22:45.000
31855,Push,Office,_,Retrieval,Finalizing order,Returning hardware,,Office,Subject_01,Case_01,2025-01-01 04:25:27.500
32851,Push,Path,Path (Office),Retrieval,Picking _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-01 04:33:45.500
32908,Push,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-01 04:34:14.000
33553,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 04:39:36.500
35056,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 04:52:08.000
35370,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 04:54:45.000
36077,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:00:38.500
36125,Handling centred,Base,_,Retrieval,Picking _ Travel time,Move to next position,,Base,Subject_01,Case_01,2025-01-01 05:01:02.500
36192,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:01:36.000
36244,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:02:02.000
36777,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:06:28.500
36831,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 05:06:55.500
37081,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:09:00.500
37191,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:09:55.500
37493,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:12:26.500
37577,Handling centred,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 05:13:08.500
38212,Standing,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:18:26.000
38379,Handling centred,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:19:49.500
38512,Tick off / confirm,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:20:56.000
38624,Tick off / confirm,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:21:52.000
39795,Walking,Cross aisle path,2-3,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:31:37.500
39881,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 05:32:20.500
39904,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 05:32:32.000
40267,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 05:35:33.500
40313,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:35:56.500
40433,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 05:36:56.500
40650,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:38:45.000
40752,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:39:36.000
40973,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:41:26.500
41054,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 05:42:07.000
41829,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:48:34.500
41938,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:49:29.000
42325,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:52:42.500
42404,Handling centred,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 05:53:22.000
42903,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 05:57:31.500
43060,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 05:58:50.000
43369,Handling centred,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:01:24.500
43456,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 06:02:08.000
43715,Tick off / confirm,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:04:17.500
43812,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 06:05:06.000
44224,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:08:32.000
44278,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 06:08:59.000
44318,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 06:09:19.000
44809,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 06:13:24.500
44834,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:13:37.000
44898,Walking,Aisle path,3 front,Retrieval,Special processes,Report and clarify the incident,,Aisle path,Subject_01,Case_01,2025-01-01 06:14:09.000
45571,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:19:45.500
45700,Handling centred,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 06:20:50.000
46219,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:25:09.500
46379,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 06:26:29.500
46877,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:30:38.500
47385,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 06:34:52.500
47707,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:37:33.500
48408,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 06:43:24.000
48708,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:45:54.000
48898,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 06:47:29.000
49129,Standing,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:49:24.500
49465,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 06:52:12.500
49945,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:56:12.500
50139,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 06:57:49.500
50210,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 06:58:25.000
50595,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 07:01:37.500
50916,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:04:18.000
51095,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 07:05:47.500
51165,Standing,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:06:22.500
51548,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 07:09:34.000
52109,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:14:14.500
52276,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 07:15:38.000
52632,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:18:36.000
52893,Walking,Aisle path,5 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 07:20:46.500
53987,Walking,Cross aisle path,4-5,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:29:53.500
54194,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-01 07:31:37.000
54438,Handling centred,Cross aisle path,1-2,Retrieval,Packing,Transport to the packing/sorting area,,Cross aisle path,Subject_01,Case_01,2025-01-01 07:33:39.000
55154,Push,Path,Path (Office),Retrieval,Packing,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-01 07:39:37.000
55261,Push,Packing/sorting area,_,Retrieval,Packing,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-01 07:40:30.500
55999,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 07:46:39.500
56053,Walking,Office,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 07:47:06.500
56398,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 07:49:59.000
56463,Walking,Packing/sorting area,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Packing/sorting area,Subject_01,Case_01,2025-01-01 07:50:31.500
56650,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 07:52:05.000
56717,Walking,Office,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 07:52:38.500
57025,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 07:55:12.500
57086,Walking,Packing/sorting area,_,Retrieval,Packing,Print shipping label and return slip,,Packing/sorting area,Subject_01,Case_01,2025-01-01 07:55:43.000
58071,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 08:03:55.500
58124,Walking,Office,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 08:04:22.000
58288,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 08:05:44.000
58339,Walking,Packing/sorting area,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Packing/sorting area,Subject_01,Case_01,2025-01-01 08:06:09.500
62482,Push,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,,Path,Subject_01,Case_01,2025-01-01 08:40:41.000
62760,Handling centred,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,,Issuing/receiving area,Subject_01,Case_01,2025-01-01 08:43:00.000
63220,Handling centred,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,,Path,Subject_01,Case_01,2025-01-01 08:46:50.000
63762,Pull,Office,_,Retrieval,Finalizing order,Returning hardware,,Office,Subject_01,Case_01,2025-01-01 08:51:21.000
64554,Pull,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-01 08:57:57.000
